Time,id,position,x,y
1711147088.421161:,7,,22.741649627685547,1.6301416158676147
1711147088.421161:,11,,37.94319534301758,3.45310115814209
1711147088.421161:,14,,13.999658584594727,-0.09773764759302139
1711147088.421161:,17,,9.8350191116333,5.564386367797852
1711147088.421161:,33,,38.690040588378906,0.8779997825622559
1711147088.421161:,47,,6.898223876953125,-0.1565425992012024
1711147088.421161:,51,,33.56659698486328,-9.182782173156738
1711147088.421161:,57,,36.55451583862305,5.7242841720581055
1711147088.421161:,63,,34.78187561035156,3.9014127254486084
1711147088.421161:,64,,31.380870819091797,1.0958441495895386
1711147088.470524:,7,,22.741649627685547,1.6301416158676147
1711147088.470524:,11,,38.048770904541016,3.3957622051239014
1711147088.470524:,14,,13.999658584594727,-0.09773764759302139
1711147088.470524:,17,,9.8350191116333,5.564386367797852
1711147088.470524:,20,,34.17216110229492,-6.580521106719971
1711147088.470524:,47,,6.898223876953125,-0.1565425992012024
1711147088.470524:,51,,33.55051803588867,-9.241352081298828
1711147088.470524:,57,,36.55451583862305,5.7242841720581055
1711147088.470524:,63,,34.795284271240234,3.779977321624756
1711147088.470524:,64,,31.380870819091797,1.0958441495895386
1711147088.5203438:,7,,22.741649627685547,1.6301416158676147
1711147088.5203438:,11,,38.036685943603516,3.5285565853118896
1711147088.5203438:,14,,13.999658584594727,-0.09773764759302139
1711147088.5203438:,17,,9.8350191116333,5.564386367797852
1711147088.5203438:,47,,6.898223876953125,-0.1565425992012024
1711147088.5203438:,51,,33.55051803588867,-9.241352081298828
1711147088.5203438:,57,,36.55451583862305,5.7242841720581055
1711147088.5203438:,63,,34.795284271240234,3.779977321624756
1711147088.5203438:,64,,31.380870819091797,1.0958441495895386
1711147088.570402:,7,,22.741649627685547,1.6301416158676147
1711147088.570402:,11,,37.94319534301758,3.45310115814209
1711147088.570402:,14,,13.999658584594727,-0.09773764759302139
1711147088.570402:,17,,9.84471607208252,5.547212600708008
1711147088.570402:,47,,6.898223876953125,-0.1565425992012024
1711147088.570402:,51,,33.56659698486328,-9.182782173156738
1711147088.570402:,57,,36.47102737426758,6.23410701751709
1711147088.570402:,63,,34.80182647705078,3.7192423343658447
1711147088.570402:,64,,31.380870819091797,1.0958441495895386
1711147088.620377:,7,,22.741649627685547,1.6301416158676147
1711147088.620377:,11,,37.94319534301758,3.45310115814209
1711147088.620377:,14,,13.999658584594727,-0.09773764759302139
1711147088.620377:,17,,9.8350191116333,5.564386367797852
1711147088.620377:,47,,6.898223876953125,-0.1565425992012024
1711147088.620377:,51,,33.56659698486328,-9.182782173156738
1711147088.620377:,57,,36.5136604309082,5.979341506958008
1711147088.620377:,63,,34.702396392822266,3.708616256713867
1711147088.620377:,64,,31.380870819091797,1.0958441495895386
1711147088.670532:,7,,22.741649627685547,1.6301416158676147
1711147088.670532:,11,,37.84360885620117,3.444037914276123
1711147088.670532:,14,,13.999658584594727,-0.09773764759302139
1711147088.670532:,17,,9.84471607208252,5.547212600708008
1711147088.670532:,47,,6.898223876953125,-0.1565425992012024
1711147088.670532:,48,,34.20615005493164,-6.4015069007873535
1711147088.670532:,51,,33.56659698486328,-9.182782173156738
1711147088.670532:,57,,36.49256896972656,6.106761455535889
1711147088.670532:,63,,34.71512985229492,3.5874598026275635
1711147088.670532:,64,,31.380870819091797,1.0958441495895386
1711147088.719611:,7,,22.741649627685547,1.6301416158676147
1711147088.719611:,11,,37.84360885620117,3.444037914276123
1711147088.719611:,14,,13.999658584594727,-0.09773764759302139
1711147088.719611:,17,,9.84471607208252,5.547212600708008
1711147088.719611:,47,,6.898223876953125,-0.1565425992012024
1711147088.719611:,51,,33.55051803588867,-9.241352081298828
1711147088.719611:,57,,36.5136604309082,5.979341506958008
1711147088.719611:,63,,34.71512985229492,3.5874598026275635
1711147088.719611:,64,,31.380870819091797,1.0958441495895386
1711147088.769562:,7,,22.741649627685547,1.6301416158676147
1711147088.769562:,11,,37.632240295410156,3.5572941303253174
1711147088.769562:,14,,13.999658584594727,-0.09773764759302139
1711147088.769562:,17,,9.84471607208252,5.547212600708008
1711147088.769562:,34,,34.281803131103516,-5.983132362365723
1711147088.769562:,47,,6.898223876953125,-0.1565425992012024
1711147088.769562:,51,,33.56659698486328,-9.182782173156738
1711147088.769562:,57,,36.48185348510742,6.170444011688232
1711147088.769562:,63,,34.73933029174805,3.3450169563293457
1711147088.769562:,64,,31.380870819091797,1.0958441495895386
1711147088.8204875:,7,,22.741649627685547,1.6301416158676147
1711147088.8204875:,9,,38.61933517456055,2.4974005222320557
1711147088.8204875:,11,,37.632240295410156,3.5572941303253174
1711147088.8204875:,14,,13.999658584594727,-0.09773764759302139
1711147088.8204875:,17,,9.84471607208252,5.547212600708008
1711147088.8204875:,47,,6.898223876953125,-0.1565425992012024
1711147088.8204875:,51,,33.55051803588867,-9.241352081298828
1711147088.8204875:,57,,36.48185348510742,6.170444011688232
1711147088.8204875:,63,,34.71512985229492,3.5874598026275635
1711147088.8204875:,64,,31.380870819091797,1.0958441495895386
1711147088.869517:,7,,22.741649627685547,1.6301416158676147
1711147088.869517:,9,,38.60095977783203,2.766951084136963
1711147088.869517:,11,,37.32102584838867,3.6593587398529053
1711147088.869517:,14,,13.999658584594727,-0.09773764759302139
1711147088.869517:,17,,9.84471607208252,5.547212600708008
1711147088.869517:,47,,6.898223876953125,-0.1565425992012024
1711147088.869517:,51,,33.55051803588867,-9.241352081298828
